EstablishmentName,EstablishmentPostcode,gias_urn
EMMANUEL CHRISTIAN SCHOOL,OX4 4PU,123317
WINDRUSH VALLEY SCHOOL,OX7 6AN,123319
WITHAM HALL SCHOOL,PE10 0JJ,120727
AYSCOUGHFEE HALL SCHOOL,PE11 2TE,120731
BICKER PREPARATORY SCHOOL,PE20 3DW,130283
ST GEORGE'S PREPARATORY SCHOOL LIMITED T/A ST GEORGE'S PREP & LITTLE DRAGONS NURSERY,PE21 7HB,137327
KEVIN BARKER T/A THE VIKING SCHOOL,PE25 2QJ,120739
WHITEHALL SCHOOL NURSERY,PE28 3EH,110928
THE PETERBOROUGH SCHOOL,PE3 6AP,110910
DOWNHAM PREPARATORY SCHOOL & MONTESSORI NURSERY,PE34 3HT,121251
GLEBE HOUSE SCHOOL,PE36 6HW,121223
STAMFORD NURSERY SCHOOL,PE9 2LR,132760
COPTHILL NURSERY & PREP SCHOOL,PE9 3AD,120741
MOUNT KELLY PREPARATORY SCHOOL,PL19 9JL,113573
KING'S SCHOOL NURSERY,PL3 5LW,113595
FLETEWOOD SCHOOL,PL4 6AN,113594
PLYMOUTH COLLEGE PREPARATORY SCHOOL KINDERGARTEN,PL4 6RN,113609
THE  PORTSMOUTH  GRAMMAR SCHOOL  NURSERY,PO1 2LN,116583
THE  PORTSMOUTH GRAMMAR SCHOOL  RECEPTION CLASS,PO1 2LN,116583
MEONCROSS SCHOOL KINDERGARTEN,PO14 2EF,116563
WEST HILL PARK INDEPENDENT SCHOOL,PO14 4BS,116551
BOUNDARY OAK SCHOOL 116558,PO17 5BL,116558
GREAT BALLARD NURSERY,PO18 0LR,126130
OAKWOOD SCHOOL,PO18 9AN,126104
PREBENDAL SCHOOL (THE),PO19 1RT,126122
WESTBOURNE HOUSE PRE-PREP SCHOOL,PO20 2BH,126105
FIVEWAYS  RYDE SCHOOL WITH UPPER CHINE,PO33 3BE,118223
MAYVILLE NURSERY,PO5 2PE,116573
PORTSMOUTH HIGH SCHOOL NURSERY,PO5 3ES,116581
KINGSCOURT SCHOOL,PO8 9NJ,130278
IMAM MUHAMMAD ZAKARIYA SCHOOL,PR1 3TN,132738
HIGHFIELD PRIORY SCHOOL LTD,PR2 5RW,119828
ST PIUS X PREPARATORY SCHOOL,PR2 8RD,119822
KIRKHAM GRAMMAR SCHOOL,PR4 2BH,119835
ASHBRIDGE SCHOOL AND NURSERY,PR4 4AQ,119854
THE DEENWAY MONTESSORI SCHOOL,RG1 4QX,135995
ST JOSEPH'S COLLEGE PREPARATORY SCHOOL,RG1 5JT,110111
DOLPHIN SCHOOL LTD,RG10 0FR,110163
BROCKHURST AND MARLSTON HOUSE SCHOOLS,RG18 9UL,110127
CHEAM SCHOOL 116520,RG19 8LD,116520
THE ABBEY SCHOOL,RG2 7AR,110165
CROSFIELDS SCHOOL TRUST LTD ,RG2 9BL,110155
THORNGROVE SCHOOL NURSERY 116590,RG20 9PS,116590
THE CHILDREN'S HSE (GRANTHAM FARM MONT) 133964,RG26 5JS,133964
DANESHILL SCHOOL 116550,RG27 0AR,116550
ST NEOT'S SCHOOL NURSERY - 116516,RG27 0PN,116516
ST EDWARDS PREP,RG30 2JH,110114
HEMDEAN HOUSE SCHOOL,RG4 7SD,110112
CAVERSHAM PREP SCHOOL,RG4 8JZ,110177
HOLME GRANGE SCHOOL,RG40 3AL,110148
WAVERLEY SCHOOL AND NURSERY,RG40 4YD,110142
REDDAM HOUSE BERKSHIRE,RG41 5BG,110137
NEWBOLD SCHOOL,RG42 4AH,110141
THE ORATORY PREPARATORY SCHOOL,RG8 7SF,123286
ST MARY'S SCHOOL (HENLEY),RG9 1HS,123280
THE HAWTHORNS SCHOOL,RH1 4QJ,125355
COACH HOUSE NURSERY COPTHORNE PREPARATORY SCHOOL,RH10 3HR,125406
PENNTHORPE SCHOOL,RH12 3HJ,126111
BURGESS HILL NURSERY,RH15 0EG,126134
SECRET GARDEN (THE),RH17 6HF,126143
CUMNOR HOUSE SUSSEX,RH17 7HT,114623
MICHAEL HALL SCHOOL PARENT & CHILD AND KINDERGARTEN (0-6YRS),RH18 5JA,114625
GREENFIELDS MONTESSORI NURSERY,RH18 5JD,114659
BRAMBLETYE SCHOOL,RH19 3PD,126150
REIGATE ST MARY'S PREPARATORY SCHOOL,RH2 7RN,125422
MICKLEFIELD SCHOOL,RH2 9DU,125357
BELMONT PREPARATORY SCHOOL,RH5 6LQ,125376
LINGFIELD COLLEGE,RH7 6PH,125387
HAZELWOOD SCHOOL NURSERY,RH8 0AA,125386
IMMANUEL SCHOOL,RM1 4HR,102360
OAKFIELDS PREP SCHOOL,RM14 2YG,102361
GIDEA PARK PREPARATORY SCHOOL AND NURSERY,RM2 5JR,102355
ST MARY'S HARE PARK SCHOOL AND NURSERY,RM2 6HH,102357
ALAMIYAH SCHOOL,RM8 2ES,144805
GORESBROOK SCHOOL,RM9 6XW,140962
WESTBOURNE SCHOOL,S10 2QT,107162
MYLNHURST SCHOOL AND NURSERY,S11 9HJ,107165
BETHANY SCHOOL,S3 7PS,107168
ST PETER & ST PAUL SCHOOL (EY),S41 0EF,113016
BARLBOROUGH HALL SCHOOL (EY),S43 4TJ,113018
KINGS KIDS CHRISTIAN SCHOOL,SE14 6EU,133447
THE NEW SCHOOL,SE19 1RT,147986
OAKFIELD PREPARATORY SCHOOL NURSERY,SE21 8HP,100644
ALLEYN'S JUNIOR SCHOOL,SE22 8SU,100864
ROSE HOUSE MONTESSORI SCHOOL,SE23 2UJ,139331
BLACKHEATH HIGH SCHOOL,SE3 0TF,100756
GREENWICH STEINER SCHOOL,SE3 7SE,132066
THE POINTER SCHOOL,SE3 7TH,100198
ST EDMUND'S PREP,SG11 1DS,117633
TREETOPS PRE-SCHOOL AT DUNCOMBE SCHOOL,SG14 3JA,117628
THE KING'S SCHOOL,SK10 1DA,111473
BEECH HALL SCHOOL NURSERY,SK10 2EG,111474
TRINITY SCHOOL,SK15 1SH,106276
STOCKPORT GRAMMAR SCHOOL,SK2 7AF,106156
STELLA MARIS  INDEPENDENT,SK4 3BR,106154
BRABYNS SCHOOL,SK6 7DB,106147
LADY BARN HOUSE SCHOOL,SK8 1JE,106149
CHEADLE HULME JUNIOR SCHOOL,SK8 6EF,106157
GREENBANK SCHOOL,SK8 6HU,106148
HULME HALL GRAMMAR,SK8 6LA,106151
POWNALL HALL SCHOOL,SK9 5DW,111481
WILMSLOW PREPARATORY SCHOOL,SK9 5EG,111477
ALDERLEY EDGE SCHOOL FOR GIRLS NURSERY,SK9 7QE,111478
DAIR HOUSE PREPARATORY SCHOOL,SL2 3BY,110554
LONG CLOSE SCHOOL,SL3 7LU,110162
ETON END SCHOOL NURSERY,SL3 9AX,110161
ST JOHN'S BEAUMONT PREPARATORY SCHOOL,SL4 2JN,125404
THE KING''S HOUSE SCHOOL  WINDSOR,SL4 3AQ,138768
UPTON HOUSE SCHOOL,SL4 3DF,110130
THE MARIST SCHOOL,SL5 7PS,110152
CHATSWORTH SCHOOLS (HIGHFIELD PREPARATORY) LTD,SL6 1PD,110145
CLAIRES COURT JUNIOR BOYS,SL6 3QE,110153
ST EDMUND CAMPION CATHOLIC NURSERY,SL6 4PX,144248
CLAIRES COURT NURSERY,SL6 6AW,110153
ST. PIRAN'S SCHOOL,SL6 7LZ,110126
HERRIES PREPARATORY SCHOOL,SL6 9BD,110124
SUTTON HIGH SCHOOL,SM1 2AX,103022
SEATON HOUSE SCHOOL,SM2 5LH,103019
LIBERTY WOODLAND SCHOOL,SM4 5JD,147455
COLLINGWOOD SCHOOL,SM6 0BD,103017
BANSTEAD PREPARATORY SCHOOL,SM7 3RA,125318
ST MARGARET'S PREPARATORY SCHOOL,SN11 0DF,126513
STONAR NURSERY SCHOOL,SN12 8NT,126512
HEYWOOD PREP NURSERY,SN13 0AP,126524
CRICKLADE MANOR PREP,SN6 6BB,126533
MARANATHA CHRISTIAN SCHOOL,SN6 7SQ,126536
PINEWOOD SCHOOL,SN6 8HZ,123301
THE GREGG PRESCHOOL,SO17 1EJ,116569
PRINCE'S MEAD SCHOOL,SO21 1AN,116552
ST SWITHUN'S SCHOOL 116534 - WINCHESTER,SO21 1HA,116534
TWYFORD SCHOOL,SO21 1NW,116536
WALHAMPTON SCHOOL PRE-PREP DEPARTMENT 850/6028,SO41 5ZG,116525
NEW FOREST SMALL SCHOOL 136112,SO43 7BU,136112
THE KING'S SCHOOL - EASTLEIGH 116595,SO50 7DB,116595
EMBLEY 116515,SO51 6ZA,116515
STROUD SCHOOL NURSERY UNIT 116528,SO51 9ZH,116528
SHERBORNE HOUSE SCHOOL LIMITED,SO53 1EU,116514
CHAFYN GROVE PRE-SCHOOL,SP1 1LR,126517
SALISBURY CATHEDRAL SCHOOL,SP1 2EQ,126518
GODOLPHIN PREP SCHOOL (EARLY YEARS),SP1 2RB,126519
ROOKWOOD SCHOOL NURSERY UNIT,SP10 3AL,116513
FARLEIGH PRE PREP AND KINDERGARTEN 012448,SP11 7PW,116542
AVONDALE SCHOOL,SP4 9DR,126523
FORRES SANDLE MANOR PREPARATORY SCHOOL,SP6 1NS,116519
THORPE HALL SCHOOL,SS1 3RD,115402
ALLEYN COURT PREPARATORY SCHOOL,SS3 0PY,115403
SAINT PIERRE SCHOOL,SS9 1LE,115408
ABBOTSHOLME SCHOOL,ST14 5BS,113003
ST. DOMINIC'S PRIORY SCHOOL  182,ST15 8ER,124476
YARLET SCHOOL   707,ST18 9SU,124477
ST JOSEPH'S COLLEGE (PREPARATORY SCHOOL),ST4 5NT,124484
LITTLE  NULS    780,ST5 1DB,124487
EDENHURST PREPARATORY SCHOOL   053,ST5 2PU,124481
NORTH ROAD NURSERY,ST6 2BP,139071
THE WHITEHOUSE PREP & WOODENTOPS KINDERGARTEN,SW12 0LF,100651
DONHEAD PREPARATORY SCHOOL,SW19 4NP,102687
WILLINGTON SCHOOL FOUNDATION,SW19 7QQ,101069
KNIGHTSBRIDGE SCHOOL,SW1X 0BD,100533
STREATHAM & CLAPHAM HIGH SCHOOL JUNIOR DEPT,SW2 3SR,100648
URSULINE PREPARATORY SCHOOL,SW20 8HR,102686
GARDEN HOUSE SCHOOL,SW3 4TW,100522
THE CHELSEA NURSERY,SW3 6AG,100538
THE HAMPSHIRE SCHOOL CHELSEA,SW3 6NB,101163
FALKNER HOUSE BOYS SCHOOL,SW5 9SU,100520
ECOLE MARIE D'ORLIAC,SW6 3AA,french school 
FULHAM PREP SCHOOL,SW6 3JJ,131165
EVERGREEN PRIMARY SCHOOL,SW6 4HW,100372
PARSONS GREEN PREP SCHOOL,SW6 4LJ,134010
SINCLAIR HOUSE SCHOOL,SW6 6DA,closed 
PRINCE'S GARDENS PREPARATORY SCHOOL,SW7 1ND,100543
RBKC SOUTH KENSINGTON PRIMARY SCHOOL,SW7 2DG,french school 
FALKNER HOUSE,SW7 4QB,100520
ST WINEFRIDES RC INDEPENDENT SCHOOL,SY1 1TE,123614
OSWESTRY SCHOOL - BELLAN HOUSE,SY11 2ST,123613
OSWESTRY SCHOOL PREPCARE NURSERY,SY11 2ST,123613
MORETON HALL SCHOOL,SY11 3EW,123604
PRESTFELDE SCHOOL,SY2 6NZ,123607
BEDSTONE COLLEGE,SY7 0BG,123599
MOOR PARK SCHOOL,SY8 4DZ,123617
QUEENS COLLEGE,TA1 4QS,123913
PERROTT HILL SCHOOL TRUST,TA18 7SL,123908
TAUNTON SCHOOL PRE-PREP & NURSERY,TA2 6AE,135321
KING'S SCHOOLS TAUNTON LTD,TA2 8AA,123934
CHARD SCHOOL,TA20 1QA,123927
WELLINGTON SCHOOL,TA21 8NT,123930
LONGRIDGE TOWERS SCHOOL,TD15 2XQ,122376
THE OLD HALL SCHOOL,TF1 3LB,123609
CASTLE HOUSE SCHOOL NURSERY & PRE-SCHOOL,TF10 7JE,123611
HILDEN OAKS SCHOOL,TN10 3BU,118974
HILDEN GRANGE SCHOOL (NURSERY UNIT),TN10 3BX,118973
SOMERHILL PRE-PREPARATORY SCHOOL,TN11 0NJ,118960
FOSSE BANK NEW SCHOOL,TN11 8ND,119016
GRANVILLE SCHOOL  THE - THE ENA MAKIN EDUCATIONAL TRUST,TN13 3LJ,118971
RADNOR HOUSE SEVENOAKS SCHOOL - RHS (HOLDINGS) LTD,TN14 6AE,118957
DULWICH PREP CRANBROOK,TN17 3NP,118990
MARLBOROUGH HOUSE SCHOOL,TN18 4PY,118942
SAINT RONAN'S SCHOOL,TN18 5DJ,118943
BEECHWOOD SCHOOL LTD,TN2 3QD,118949
KENT COLLEGE PREPARATORY SCHOOL,TN2 4AX,118946
MEAD SCHOOL  THE,TN2 5SN,118975
SKIPPERS HILL MANOR PREPARATORY SCHOOL KINDERGARTEN,TN20 6HR,114633
ANNAN SCHOOL KINDERGARTEN,TN22 5RE,136162
THE MONTESSORI PLACE NURSERY,TN22 5RE,136947
ASHFORD SCHOOL,TN23 3DJ,118937
SPRING GROVE SCHOOL,TN25 5EZ,118992
HOLMEWOOD HOUSE SCHOOL,TN3 0EB,118950
VINEHALL SCHOOL NURSERY,TN32 5JL,114629
CLAREMONT NURSERY (PRE-PREP),TN37 7PW,114640
ROSE HILL SCHOOL,TN4 9SY,118951
BATTLE ABBEY PREP SCHOOL NURSERY,TN40 2NH,114622
SACRED HEART SCHOOL NURSERY,TN5 6DQ,114636
ABBEY SCHOOL NURSERY,TQ1 4PR,113566
ABBOTSBURY SCHOOL,TQ12 2JD,113601
STOVER SCHOOL,TQ12 6QG,113579
TRINITY SCHOOL  TEIGNMOUTH,TQ14 8LY,113574
PARK SCHOOL,TQ9 6EQ,113617
ST CHRISTOPHER'S SCHOOL,TQ9 6PF,113629
TRURO HIGH SCHOOL NURSERY,TR1 2HU,112077
TRURO PREPARATORY SCHOOL PRE-PREP,TR1 3QN,112081
POLWHELE HOUSE NURSERY,TR4 9AE,112075
YARM PREPARATORY SCHOOL,TS15 9ES,111771
TEESSIDE HIGH,TS16 9AT,111768
RED HOUSE SCHOOL,TS20 1DX,111767
NEWLAND HOUSE SCHOOL,TW1 4TQ,102934
KING'S HOUSE SCHOOL (JR DEPT),TW10 6EG,102931
THE OLD VICARAGE SCHOOL,TW10 6QX,102935
THE GERMAN SCHOOL,TW10 7AH,102945
TWICKENHAM PREPARATORY SCHOOL,TW12 2SA,102943
HAMPTON PRE PREP AND PREP SCHOOL,TW12 2UQ,102946
ST MICHAEL STEINER SCHOOL,TW13 6PN,138771
STAINES PREPARATORY SCHOOL,TW18 2BT,125414
THE MALL SCHOOL,TW2 5NQ,102933
JACK AND JILL RECEPTION NURSERY SCHOOL,TW2 5QA,102939
SUFFAH SCHOOL (INDEPENDENT) ADMIN RECORD,TW4 5HU,134243
TARBIYYAH PRIMARY SCHOOL,TW5 0LJ,137273
UNIQUE ACADEMY,TW5 9WA,148190
ASHTON HOUSE,TW7 4LW,102546
FALCONS PREP SCHOOL RICHMOND,TW9 2SS,145195
KEW GREEN PREPARATORY SCHOOL,TW9 3AF,134932
KEW COLLEGE,TW9 3HQ,102940
BROOMFIELD HOUSE SCHOOL,TW9 3HS,102938
UNICORN SCHOOL,TW9 3JX,102944
MARIA MONTESSORI SCHOOL - NOTTING HILL,W11 1JG,131978
THE TABERNACLE,W11 4RS,131778
LA SCUOLA ITALIANA A LONDRA,W11 4UH,136747
ST JAMES PREP SCHOOL,W14 8SH,131268
L'ÉCOLE INTERNATIONALE FRANCO-ANGLAISE LIMITED,W1B 1LS,139239
L'ECOLE BILINGUE,W2 1SJ,134192
MARIA MONTESSORI NURSERY (BAYSWATER),W2 4LA,131978
CHISWICK & BEDFORD PARK PREP SCHOOL,W4 1TX,102547
FALCONS PRE-PREPARATORY CHISWICK,W4 3DT,100523
LA CHOUETTE SCHOOL,W5 2PJ,137802
AZBUKA FOUNDATION/ RUSSIAN-ENGLISH BILINGUAL SCHOOL,W6 0JS,143048
RAVENSCOURT PARK PREP SCHOOL,W6 0SL,100373
ECOLE FRANÇAISE DE LONDRES JACQUES PRÉVERT,W6 7BE,100371
THOMAS'S PREPARATORY SCHOOL,W8 5RJ,100534
LORETO PREPARATORY SCHOOL,WA14 4GZ,106387
ST AMBROSE PREP SCHOOL,WA15 0HF,106381
FOREST SCHOOL,WA15 6LJ,106385
YORSTON LODGE SCHOOL,WA16 0DP,111479
ST MARGARET'S SCHOOL BUSHEY,WD23 1DT,117606
BLUEBIRD NURSERY,WD23 3DA,117624
STANBOROUGH PRIMARY SCHOOL,WD25 0DQ,135596
GURUKULA - THE HARE KRISHNA SCHOOL,WD25 8HB,117654
WAKEFIELD GRAMMAR PRE PREPARATORY SCHOOL,WF1 2DG,133633
MADNI MUSLIM GIRLS PRE-SCHOOL,WF12 9AY,107794
PARADISE PREP SCHOOL,WF12 9BB,132099
AL-FURQAAN PREPARATORY SCHOOL,WF13 2JR,131131
THE BRANCH CHRISTIAN SCHOOL,WF13 4LA,107795
DALE HOUSE INDEPENDENT PREP SCHOOL & NURSERY,WF17 8HL,133425
SILCOATES PRE-SCHOOL,WF2 0PD,108303
WAKEFIELD INDEPENDENT SCHOOL,WF4 1QG,108307
ACKWORTH SCHOOL,WF7 7LT,108300
SPRINGFIELD DAY CARE,WR1 3DL,117038
BOWBROOK HOUSE SCHOOL NURSERY,WR10 2EE,117034
THE ELMS SCHOOL,WR13 6EF,117003
DOWNS MALVERN COLLEGE PRE-PREP,WR13 6EY,117002
THE GRANGE DAYCARE,WR3 7RR,117038
KING'S HAWFORD SCHOOL KINDERGARTEN,WR3 7SE,117037
THE RIVER SCHOOL EARLY YEARS,WR3 7ST,117041
ABBERLEY HALL PRE-PREP,WR6 6DD,117011
RGS - DODDERHILL DAYCARE,WR9 0BE,147783
CHASE GRAMMAR SCHOOL   031,WS11 0UR,124486
LITTLE OWL CHILDCARE LTD - DAYCARE NURSERY    1399,WS11 1UE,124207
LICHFIELD CATHEDRAL SCHOOL NURSERY   754,WS15 4PT,124474
EMMANUEL NURSERY,WS2 8PR,130323
WOLVERHAMPTON GRAMMAR SCHOOL,WV3 9RB,104411
NEWBRIDGE PREPARATORY SCHOOL,WV6 0LH,104408
YORK STEINER SCHOOL KINDERGARTEN,YO10 4PB,121759
LITTLE OWLS PRE-SCHOOL,YO11 3BA,121730
MOORLAND WALDORF SCHOOL,YO21 2NJ,121753
MOUNT JUNIOR SCHOOL (NURSERY CLASS),YO24 4DD,121726
ST PETER'S 2-8,YO30 6AB,121724
BOOTHAM JUNIOR SCHOOL,YO30 6NP,121722
TERRINGTON HALL SCHOOL,YO60 6PR,121732
CUNDALL MANOR SCHOOL,YO61 2RW,121752
READ SCHOOL,YO8 8NL,121748
ST MARYS HALL SCHOOL,BB7 9PU,119817
Thomas's Academy,SW6 4LY,142256
Thomas's Battersea,SW11 3JB,100530
Thomas's Clapham,SW11 6JZ,130398
Thomas's Fulham,SW6 3ES,130239
Thomas's Kensington,W8 5PR,100534
Thomas's Putney Vale, SW15 3EQ,149569
BURY CATHOLIC PREPARATORY SCHOOL,BL9 9BH,105369
CAMBRIDGE INTERNATIONAL SCHOOL OAKS NURSERY,CB1 8DW,146301
ST MARY'S PRE-SCHOOL CAMBRIDGE,CB2 1LY,110912
WILLIAMS  JODIE,CO12 4HY,EY childminder
COLCHESTER HIGH SCHOOL NURSERY,CO3 3HD,115409
HILL HOUSE SCHOOL NURSERY,DN9 3GG,106812
DATE PALM PRIMARY SCHOOL,E1 2DE,139221
BUTTERCUP NURSERY AND PRIMARY,E1 2LX,138564
RIVER HOUSE MONTESSORI DAY NURSERY,E14 9XP,100303
GATEHOUSE SCHOOL,E2 9JG,100980
LITTLE KING'S,GL1 2BG,115780
AL-ASHRAF NURSERY (PG),GL1 4HB,135097
HOPELANDS PREPARATORY SCHOOL,GL10 2AD,115805
WYCLIFFE NURSERY,GL10 2LD,115788
DEAN CLOSE AIRTHRIE SCHOOL (DCAS) - NUIS,GL50 2NY,115799
DEAN CLOSE PRE-PREPARATORY SCHOOL - NUIS,GL51 6QS,115796
ST EDWARDS KINDERGARTEN,GL52 6NR,133948
CHELTENHAM COLLEGE PREPARATORY SCHOOL (PRE-PREP) - NUIS,GL53 7AB,115795
THE RICHARD PATE SCHOOL NURSERY,GL53 9RP,115801
RENDCOMB COLLEGE JUNIOR SCHOOL NURSERY,GL7 7HA,115787
WESTONBIRT PREP NURSERY,GL8 8QG,115789
CROWN HOUSE SCHOOL,HP11 1QX,110557
EWELL CASTLE PREPARATORY SCHOOL,KT17 2AW,125380
DANES HILL PREPARATORY SCHOOL,KT22 0GJ,125389
OAKWOOD PRIMARY SCHOOL,LU1 3RR,135539
MEHRIA WONDERLAND,LU4 8JD,134289
KING'S HOUSE NURSERY,LU4 9LJ,109726
TORAS MOSHE,M7 2AX,149063
ATERES ELISHEVA GIRLS PRIMARY SCHOOL,M7 4JD,147208
MILTON KEYNES PREPARATORY SCHOOL,MK3 7EG,110565
HYLAND HOUSE SCHOOL,N17 9AE,103111
PALMERS GREEN HIGH SCHOOL NURSERY,N21 3LJ,102061
NOTTINGHAM GIRLS HIGH SCHOOL,NG1 4JB,122936
WELLOW HOUSE SCHOOL,NG22 0EA,122931
WINCHESTER HOUSE SCHOOL,NN13 7AZ,122125
NORTHAMPTON HIGH SCHOOL GDST,NN4 6UU,122144
NORTH BRIDGE HOUSE - REGENT PARK,NW1 7AB,135140
THE VILLAGE PREP SCHOOL,NW3 2YN,100077
WESTWOOD HIGH KINDERGARTEN,OL9 6HR,137822
ST JOHN'S PRIORY SCHOOL,OX16 5HX,123279
HORRIS HILL SCHOOL NURSERY UNIT (FORFAR) - 116526,RG20 9DJ,116526
SERAPHIC ACADEMY,S9 5DL,140479
ST. DOMINIC'S SCHOOL   183,ST19 9BA,124471
GLENDOWER PREPARATORY SCHOOL,SW7 5JX,100508
NEWTON PREPARATORY SCHOOL (PVI),SW8 4BX,101082
AVENUE HOUSE SCHOOL,W13 8LS,101962
CHISWICK & BEDFORD PARK PREPARATORY SCHOOL NURSERY,W4 1DR,102547
ORCHARD HOUSE SCHOOL,W4 1LB,101961
THE WELSH SCHOOL LONDON,W7 1PD,101573
MALVERN ST JAMES NURSERY,WR14 3BA,117018
